detectedstate,dateannounced,gender,count
Andaman and Nicobar Islands,26/03/2020,M,1
Andaman and Nicobar Islands,27/03/2020,Unknown,4
Andaman and Nicobar Islands,27/03/2020,M,1
Andaman and Nicobar Islands,28/03/2020,Unknown,2
Andaman and Nicobar Islands,28/03/2020,F,1
Andaman and Nicobar Islands,30/03/2020,Unknown,1
Andaman and Nicobar Islands,08/04/2020,F,1
Andaman and Nicobar Islands,17/04/2020,M,1
Andaman and Nicobar Islands,18/04/2020,Unknown,2
Andaman and Nicobar Islands,19/04/2020,Unknown,1
Andaman and Nicobar Islands,20/04/2020,Unknown,1
Andaman and Nicobar Islands,21/04/2020,Unknown,1
Andaman and Nicobar Islands,22/04/2020,Unknown,1
Andaman and Nicobar Islands,23/04/2020,Unknown,4
Andaman and Nicobar Islands,24/04/2020,Unknown,7
Andaman and Nicobar Islands,25/04/2020,Unknown,4
Andaman and Nicobar Islands,28/04/2020,Unknown,1
Andaman and Nicobar Islands,30/04/2020,Unknown,1
Andaman and Nicobar Islands,02/05/2020,Unknown,2
Andaman and Nicobar Islands,03/05/2020,Unknown,1
Andaman and Nicobar Islands,07/05/2020,Unknown,1
Andaman and Nicobar Islands,09/06/2020,M,2
Andaman and Nicobar Islands,09/06/2020,Unknown,1
Andaman and Nicobar Islands,10/06/2020,F,2
Andaman and Nicobar Islands,10/06/2020,Unknown,1
Andaman and Nicobar Islands,11/06/2020,Unknown,1
Andaman and Nicobar Islands,14/06/2020,Unknown,1
Andaman and Nicobar Islands,15/06/2020,Unknown,1
Andaman and Nicobar Islands,16/06/2020,Unknown,3
Andaman and Nicobar Islands,18/06/2020,Unknown,2
Andaman and Nicobar Islands,19/06/2020,Unknown,2
Andaman and Nicobar Islands,21/06/2020,Unknown,2
Andaman and Nicobar Islands,23/06/2020,Unknown,2
Andaman and Nicobar Islands,24/06/2020,Unknown,4
Andaman and Nicobar Islands,25/06/2020,Unknown,1
Andaman and Nicobar Islands,26/06/2020,Unknown,6
Andaman and Nicobar Islands,26/06/2020,F,1
Andaman and Nicobar Islands,28/06/2020,Unknown,5
Andaman and Nicobar Islands,29/06/2020,Unknown,1
Andaman and Nicobar Islands,30/06/2020,Unknown,1
Andaman and Nicobar Islands,01/07/2020,Unknown,3
Andaman and Nicobar Islands,02/07/2020,Unknown,3
Andaman and Nicobar Islands,03/07/2020,Unknown,3
Andaman and Nicobar Islands,04/07/2020,Unknown,4
Andaman and Nicobar Islands,05/07/2020,Unknown,2
Andaman and Nicobar Islands,06/07/2020,Unknown,4
Andaman and Nicobar Islands,07/07/2020,Unknown,1
Andaman and Nicobar Islands,08/07/2020,Unknown,1
Andaman and Nicobar Islands,09/07/2020,Unknown,5
Andaman and Nicobar Islands,10/07/2020,Unknown,1
Andaman and Nicobar Islands,12/07/2020,Unknown,3
Andaman and Nicobar Islands,13/07/2020,Unknown,2
Andaman and Nicobar Islands,14/07/2020,Unknown,2
Andaman and Nicobar Islands,15/07/2020,Unknown,3
Andaman and Nicobar Islands,16/07/2020,Unknown,2
Andhra Pradesh,12/03/2020,M,1
Andhra Pradesh,19/03/2020,M,2
Andhra Pradesh,21/03/2020,M,2
Andhra Pradesh,22/03/2020,F,1
Andhra Pradesh,23/03/2020,M,1
Andhra Pradesh,24/03/2020,M,1
Andhra Pradesh,25/03/2020,M,2
Andhra Pradesh,26/03/2020,M,1
Andhra Pradesh,27/03/2020,F,1
Andhra Pradesh,27/03/2020,M,1
Andhra Pradesh,28/03/2020,M,5
Andhra Pradesh,28/03/2020,F,1
Andhra Pradesh,29/03/2020,Unknown,2
Andhra Pradesh,30/03/2020,M,2
Andhra Pradesh,31/03/2020,M,18
Andhra Pradesh,31/03/2020,F,3
Andhra Pradesh,01/04/2020,M,59
Andhra Pradesh,01/04/2020,F,7
Andhra Pradesh,01/04/2020,Unknown,1
Andhra Pradesh,02/04/2020,Unknown,21
Andhra Pradesh,02/04/2020,M,17
Andhra Pradesh,03/04/2020,Unknown,15
Andhra Pradesh,04/04/2020,Unknown,21
Andhra Pradesh,04/04/2020,M,7
Andhra Pradesh,05/04/2020,M,59
Andhra Pradesh,05/04/2020,F,3
Andhra Pradesh,05/04/2020,Unknown,2
Andhra Pradesh,06/04/2020,M,32
Andhra Pradesh,06/04/2020,F,13
Andhra Pradesh,06/04/2020,Unknown,2
Andhra Pradesh,07/04/2020,M,6
Andhra Pradesh,07/04/2020,F,5
