STATE/UT,1/30/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020
Andaman and Nicobar Islands,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,6.0,2.0,14.0,0.0,11.0,7.0,7.0,3.0,9.0,7.0,3.0,6.0,16.0,6.0,2.0,7.0,0.0,7.0,0.0,3.0,5.0,5.0,4.0,0.0,0.0,23.0,0.0,5.0,9.0,19.0,19.0,31.0,28.0
Andhra Pradesh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,21.0,67.0,38.0,15.0,28.0,64.0,47.0,11.0,34.0,15.0,18.0,24.0,15.0,19.0,45.0,41.0,9.0,38.0,31.0,44.0,75.0,35.0,56.0,80.0,62.0,61.0,81.0,80.0,82.0,73.0,71.0,60.0,62.0,58.0,67.0,67.0,60.0,56.0,54.0,43.0,50.0,38.0,71.0,48.0,68.0,102.0,48.0,25.0,52.0,57.0,71.0,45.0,62.0,47.0,66.0,106.0,97.0,134.0,128.0,85.0,131.0,110.0,105.0,115.0,180.0,141.0,141.0,207.0,199.0,154.0,216.0,218.0,182.0,207.0,222.0,294.0,304.0,264.0,351.0,425.0,465.0,491.0,477.0,443.0,462.0,497.0,553.0,605.0,796.0,813.0,793.0,704.0,657.0,845.0,837.0,765.0,998.0,1322.0,1178.0,1062.0,1555.0,1608.0,1813.0,1933.0,1935.0,1916.0,2432.0,2593.0,2602.0,3963.0,5041.0,4074.0,4944.0,6045.0,7998.0,8147.0,7813.0,7627.0
Arunachal Pradesh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,8.0,9.0,5.0,5.0,1.0,2.0,7.0,0.0,4.0,6.0,13.0,11.0,3.0,4.0,4.0,4.0,0.0,32.0,0.0,1.0,9.0,10.0,2.0,12.0,2.0,3.0,5.0,5.0,4.0,4.0,37.0,20.0,7.0,10.0,1.0,6.0,11.0,15.0,33.0,6.0,19.0,27.0,75.0,29.0,52.0,66.0,41.0,90.0,0.0,118.0,91.0,42.0,65.0,70.0,32.0
Assam,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,6.0,2.0,1.0,2.0,0.0,15.0,7.0,3.0,3.0,8.0,15.0,42.0,31.0,22.0,15.0,121.0,46.0,156.0,134.0,101.0,97.0,177.0,159.0,123.0,146.0,76.0,269.0,285.0,285.0,73.0,208.0,154.0,215.0,235.0,145.0,263.0,207.0,218.0,191.0,201.0,184.0,209.0,0.0,249.0,331.0,267.0,203.0,227.0,364.0,273.0,246.0,327.0,302.0,613.0,548.0,479.0,365.0,1202.0,735.0,786.0,814.0,696.0,568.0,936.0,535.0,735.0,1001.0,859.0,1088.0,892.0,1218.0,1117.0,1018.0,0.0,2773.0,972.0,1047.0,1130.0,1165.0,1142.0
Bihar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,4.0,0.0,6.0,3.0,5.0,2.0,1.0,0.0,0.0,6.0,1.0,19.0,2.0,4.0,0.0,2.0,0.0,6.0,11.0,2.0,1.0,10.0,17.0,13.0,17.0,27.0,53.0,28.0,26.0,69.0,20.0,37.0,22.0,41.0,15.0,36.0,11.0,7.0,7.0,8.0,29.0,32.0,96.0,42.0,130.0,74.0,46.0,34.0,145.0,142.0,103.0,96.0,257.0,211.0,179.0,228.0,180.0,163.0,231.0,68.0,149.0,174.0,206.0,242.0,138.0,151.0,230.0,126.0,126.0,253.0,239.0,177.0,208.0,243.0,250.0,148.0,193.0,186.0,187.0,148.0,130.0,100.0,250.0,213.0,162.0,228.0,157.0,223.0,215.0,190.0,302.0,244.0,394.0,370.0,216.0,478.0,429.0,346.0,403.0,280.0,385.0,749.0,704.0,352.0,709.0,1266.0,1116.0,1432.0,1320.0,1385.0,1742.0,1667.0,1412.0,1076.0,1109.0,1502.0,1625.0,1820.0,2803.0,2605.0
Chandigarh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,9.0,11.0,12.0,6.0,14.0,6.0,3.0,5.0,17.0,5.0,11.0,11.0,23.0,4.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,16.0,1.0,6.0,37.0,4.0,12.0,1.0,10.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,9.0,3.0,5.0,6.0,2.0,4.0,13.0,5.0,2.0,5.0,8.0,5.0,4.0,7.0,9.0,16.0,5.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0,5.0,7.0,21.0,5.0,15.0,16.0,13.0,13.0,10.0,29.0,12.0,19.0,16.0,25.0,31.0,26.0,20.0,14.0,29.0,20.0,23.0,29.0,35.0
Chhattisgarh,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,18.0,10.0,5.0,14.0,14.0,44.0,42.0,38.0,40.0,68.0,4.0,34.0,17.0,32.0,51.0,50.0,16.0,62.0,147.0,147.0,3.0,150.0,124.0,14.0,51.0,136.0,47.0,105.0,112.0,53.0,69.0,80.0,82.0,72.0,116.0,121.0,47.0,83.0,34.0,37.0,89.0,57.0,92.0,101.0,63.0,82.0,73.0,52.0,96.0,46.0,98.0,110.0,111.0,140.0,166.0,65.0,184.0,184.0,114.0,177.0,198.0,249.0,243.0,161.0,191.0,133.0,268.0,371.0,449.0,363.0,431.0
Dadra and Nagar Haveli,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,3.0,2.0,1.0,2.0,0.0,5.0,1.0,2.0,1.0,5.0,3.0,15.0,5.0,1.0,14.0,14.0,10.0,4.0,19.0,15.0,11.0,24.0,15.0,4.0,15.0,10.0,16.0,25.0,50.0,37.0,32.0,27.0,15.0,27.0,14.0,14.0,12.0,18.0,25.0,16.0,17.0,18.0,32.0,45.0,37.0,21.0,28.0,36.0,45.0,44.0,37.0,49.0
Daman and Diu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,0.0,3.0,0.0,5.0,1.0,4.0,9.0,23.0,25.0,23.0,32.0,141.0,93.0,59.0,58.0,22.0,51.0,93.0,51.0,183.0,166.0,85.0,356.0,51.0,17.0,62.0,67.0,186.0,110.0,78.0,75.0,92.0,128.0,138.0,111.0,293.0,190.0,206.0,125.0,76.0,223.0,384.0,427.0,349.0,206.0,428.0,448.0,338.0,224.0,381.0,310.0,406.0,359.0,472.0,425.0,438.0,422.0,299.0,500.0,534.0,571.0,660.0,591.0,508.0,635.0,412.0,792.0,1024.0,1105.0,1163.0,1295.0,990.0,1298.0,1513.0,1359.0,1359.0,1291.0,1282.0,1007.0,0.0,2867.0,1877.0,2137.0,2134.0,2224.0,1647.0,1859.0,2414.0,2877.0,3137.0,3630.0,3000.0,2909.0,3947.0,3788.0,3390.0,3460.0,2948.0,2889.0,2084.0,2199.0,2442.0,2373.0,2520.0,2505.0,2244.0,1379.0,2008.0,2033.0,2187.0,2089.0,1781.0,1573.0,1246.0,1606.0,1647.0,1652.0,1462.0,1475.0,1211.0,954.0,1349.0,1227.0,1041.0,1025.0,1142.0,1075.0
