Date,Confirmed,Recovered,Deceased,Migrated
2020-05-29,4,0,0,0
2020-05-30,4,0,0,0
2020-05-31,4,0,0,0
2020-06-01,5,0,0,0
2020-06-02,5,0,0,0
2020-06-03,8,0,0,0
2020-06-04,12,0,0,0
2020-06-05,12,4,0,0
2020-06-06,12,4,0,0
2020-06-07,18,4,0,0
2020-06-08,37,4,0,0
2020-06-09,38,6,0,0
2020-06-10,38,7,0,0
2020-06-11,39,7,0,0
2020-06-12,41,27,0,0
2020-06-13,44,27,0,0
2020-06-14,45,31,0,0
2020-06-15,74,31,0,0
2020-06-16,74,33,0,0
2020-06-17,102,33,0,0
2020-06-18,102,33,0,0
2020-06-19,102,36,0,0
2020-06-20,149,39,0,0
2020-06-21,173,42,0,0
2020-06-22,176,66,0,0
2020-06-23,177,68,0,0
2020-06-24,178,72,0,0
2020-06-25,178,81,0,0
2020-06-26,178,92,0,0
2020-06-27,179,93,0,0
2020-06-28,179,115,0,0
2020-06-29,179,115,0,0
2020-06-30,182,153,0,0
2020-07-01,184,168,0,0
2020-07-02,186,175,0,0
2020-07-03,186,177,0,0
2020-07-04,187,177,0,0
2020-07-05,188,178,0,0
2020-07-06,188,179,0,0
2020-07-07,190,179,0,0
2020-07-08,191,184,0,0
2020-07-09,191,184,0,0
2020-07-10,193,186,0,0
2020-07-11,194,186,0,0
2020-07-12,205,187,0,0
2020-07-13,205,188,0,0
2020-07-14,206,188,0,0
2020-07-15,207,188,0,0
2020-07-16,209,190,0,0
2020-07-17,212,191,0,0
2020-07-18,217,193,1,0
2020-07-19,218,193,1,0
2020-07-20,219,204,1,0
2020-07-21,224,204,1,0
2020-07-22,229,206,1,0
2020-07-23,234,207,1,0
2020-07-24,236,210,1,0
2020-07-25,244,211,1,0
2020-07-26,267,216,1,0
2020-07-27,267,216,1,0
