state,updatedon,totaltested,positive
Andaman and Nicobar Islands,17/04/2020,1403,12
Andaman and Nicobar Islands,24/04/2020,2679,27
Andaman and Nicobar Islands,27/04/2020,2848,33
Andaman and Nicobar Islands,01/05/2020,3754,33
Andaman and Nicobar Islands,16/05/2020,6677,33
Andaman and Nicobar Islands,19/05/2020,6965,33
Andaman and Nicobar Islands,20/05/2020,7082,33
Andaman and Nicobar Islands,21/05/2020,7167,33
Andaman and Nicobar Islands,22/05/2020,7263,33
Andaman and Nicobar Islands,23/05/2020,7327,33
Andaman and Nicobar Islands,24/05/2020,7327,33
Andaman and Nicobar Islands,25/05/2020,7363,33
Andaman and Nicobar Islands,26/05/2020,7448,33
Andaman and Nicobar Islands,27/05/2020,7499,33
Andaman and Nicobar Islands,28/05/2020,7519,33
Andaman and Nicobar Islands,29/05/2020,7567,33
Andaman and Nicobar Islands,30/05/2020,7567,33
Andaman and Nicobar Islands,31/05/2020,7706,33
Andaman and Nicobar Islands,01/06/2020,7805,33
Andaman and Nicobar Islands,02/06/2020,8086,33
Andaman and Nicobar Islands,03/06/2020,8295,33
Andaman and Nicobar Islands,04/06/2020,8413,33
Andaman and Nicobar Islands,05/06/2020,8694,33
Andaman and Nicobar Islands,06/06/2020,9037,33
Andaman and Nicobar Islands,07/06/2020,9242,33
Andaman and Nicobar Islands,08/06/2020,9341,33
Andaman and Nicobar Islands,09/06/2020,9859,33
Andaman and Nicobar Islands,10/06/2020,10010,35
Andaman and Nicobar Islands,11/06/2020,10226,38
Andaman and Nicobar Islands,12/06/2020,10697,38
Andaman and Nicobar Islands,13/06/2020,10955,38
Andaman and Nicobar Islands,14/06/2020,11356,38
Andaman and Nicobar Islands,15/06/2020,11518,41
Andaman and Nicobar Islands,16/06/2020,11809,44
Andaman and Nicobar Islands,17/06/2020,12239,44
Andaman and Nicobar Islands,18/06/2020,12622,45
Andaman and Nicobar Islands,19/06/2020,12930,47
Andaman and Nicobar Islands,20/06/2020,13320,47
Andaman and Nicobar Islands,21/06/2020,13434,48
Andaman and Nicobar Islands,22/06/2020,13511,48
Andaman and Nicobar Islands,23/06/2020,13723,50
Andaman and Nicobar Islands,24/06/2020,13994,56
Andaman and Nicobar Islands,25/06/2020,14277,59
Andaman and Nicobar Islands,26/06/2020,14583,72
Andaman and Nicobar Islands,27/06/2020,14851,73
Andaman and Nicobar Islands,28/06/2020,15094,83
Andaman and Nicobar Islands,29/06/2020,15410,90
Andaman and Nicobar Islands,30/06/2020,15709,97
Andaman and Nicobar Islands,01/07/2020,15982,100
Andaman and Nicobar Islands,02/07/2020,16278,109
Andaman and Nicobar Islands,03/07/2020,16626,116
Andaman and Nicobar Islands,04/07/2020,16832,119
Andaman and Nicobar Islands,05/07/2020,16909,125
Andaman and Nicobar Islands,06/07/2020,17095,141
Andaman and Nicobar Islands,07/07/2020,17381,147
Andaman and Nicobar Islands,08/07/2020,17643,149
Andaman and Nicobar Islands,09/07/2020,17852,151
Andaman and Nicobar Islands,10/07/2020,18046,156
Andaman and Nicobar Islands,11/07/2020,18315,163
Andaman and Nicobar Islands,12/07/2020,18447,163
Andaman and Nicobar Islands,13/07/2020,18609,166
Andaman and Nicobar Islands,14/07/2020,18884,171
Andaman and Nicobar Islands,15/07/2020,19061,176
Andaman and Nicobar Islands,16/07/2020,19227,180
Andaman and Nicobar Islands,17/07/2020,19421,194
Andaman and Nicobar Islands,18/07/2020,19671,198
Andaman and Nicobar Islands,19/07/2020,19904,203
Andaman and Nicobar Islands,20/07/2020,20301,207
Andaman and Nicobar Islands,21/07/2020,20642,212
Andaman and Nicobar Islands,22/07/2020,21043,221
Andaman and Nicobar Islands,23/07/2020,21310,240
Andaman and Nicobar Islands,24/07/2020,21743,259
Andaman and Nicobar Islands,25/07/2020,21965,290
Andaman and Nicobar Islands,26/07/2020,22049,324
Andhra Pradesh,02/04/2020,1800,132
Andhra Pradesh,10/04/2020,6374,365
Andhra Pradesh,11/04/2020,6958,381
